id,flightNumber,airline,from,to,departureTime,arrivalTime,operateDays,duration,stops,price,availableSeats
FL048,LS148,LeedsAir,GDN,LBA,07:45,11:00,0101101,2h 15m,0,,
FL049,LS149,LeedsAir,LBA,OTP,06:05,11:25,1001001,3h 20m,0,,
FL050,LS150,LeedsAir,OTP,LBA,11:50,13:10,1001001,3h 20m,0,,
FL051,LS151,LeedsAir,LBA,BFS,14:55,15:55,1100110,1h 0m,0,,
FL052,LS152,LeedsAir,BFS,LBA,16:25,17:25,1100110,1h 0m,0,,
FL053,LS153,LeedsAir,LBA,BCN,07:40,11:15,0101011,2h 35m,0,,
FL054,LS154,LeedsAir,BCN,LBA,12:00,13:45,0101011,2h 45m,0,,
FL055,LS155,LeedsAir,LBA,LIG,09:05,11:55,1001001,1h 55m,0,,
FL056,LS156,LeedsAir,LIG,LBA,12:20,13:05,1001001,1h 45m,0,,
FL057,LS157,LeedsAir,LBA,MAH,06:15,10:00,1010111,2h 45m,0,,
FL058,LS158,LeedsAir,MAH,LBA,10:50,12:40,1010111,2h 50m,0,,
FL059,LS159,LeedsAir,LBA,DBV,15:25,19:20,0010101,2h 55m,0,,
FL060,LS160,LeedsAir,DBV,LBA,20:10,22:25,0010101,3h 15m,0,,
FL061,LS161,LeedsAir,LBA,KGS,06:00,12:10,1010101,4h 10m,0,,
FL062,LS162,LeedsAir,KGS,LBA,13:00,15:10,1010101,4h 10m,0,,
FL063,LS163,LeedsAir,LBA,WRO,09:00,12:10,0110111,2h 10m,0,,
FL064,LS164,LeedsAir,WRO,LBA,12:40,13:55,0110111,2h 15m,0,,
FL065,LS165,LeedsAir,LBA,AGA,06:50,10:50,1000100,4h 0m,0,,
FL066,LS166,LeedsAir,AGA,LBA,11:40,15:40,1000100,4h 0m,0,,
FL067,LS167,LeedsAir,LBA,LCA,15:20,22:10,0101010,4h 50m,0,,
FL068,LS168,LeedsAir,LCA,LBA,23:00,02:15 +1,0101010,5h 15m,0,,
FL069,LS169,LeedsAir,LBA,KEF,07:25,09:15,1001000,2h 50m,0,,
FL070,LS170,LeedsAir,KEF,LBA,10:15,14:00,1001000,2h 45m,0,,
FL071,LS171,LeedsAir,LBA,MLA,07:30,12:05,0010010,3h 35m,0,,
FL072,LS172,LeedsAir,MLA,LBA,12:55,15:35,0010010,3h 40m,0,,
FL073,LS173,LeedsAir,LBA,PRG,13:30,16:45,1000100,2h 15m,0,,
FL074,LS174,LeedsAir,PRG,LBA,17:30,18:45,1000100,2h 15m,0,,
FL075,LS175,LeedsAir,LBA,NAP,08:00,12:05,1001000,3h 5m,0,,
FL076,LS176,LeedsAir,NAP,LBA,12:55,15:05,1001000,3h 10m,0,,
FL077,LS177,LeedsAir,LBA,REU,06:50,10:25,0100111,2h 35m,0,,
FL078,LS178,LeedsAir,REU,LBA,11:10,12:45,0100111,2h 35m,0,,
FL079,LS179,LeedsAir,LBA,RAK,16:30,20:20,0010110,3h 50m,0,,
FL080,LS180,LeedsAir,RAK,LBA,21:05,23:55,0010110,3h 50m,0,,
FL081,LS181,LeedsAir,LBA,PFO,09:15,15:55,0001011,4h 40m,0,,
FL082,LS182,LeedsAir,PFO,LBA,16:55,20:00,0001011,5h 5m,0,,
FL083,LS183,LeedsAir,LBA,PGF,08:55,12:10,0100100,2h 15m,0,,
FL084,LS184,LeedsAir,PGF,LBA,12:45,13:55,0100100,2h 10m,0,,
FL085,LS185,LeedsAir,LBA,PMI,08:15,12:00,1100111,2h 45m,0,,
FL086,LS186,LeedsAir,PMI,LBA,13:00,14:50,1100111,2h 50m,0,,
FL087,LS187,LeedsAir,LBA,POZ,06:30,07:40,0010011,2h 10m,0,,
FL088,LS188,LeedsAir,POZ,LBA,08:05,11:10,0010011,2h 5m,0,,
FL089,LS189,LeedsAir,LBA,BJV,06:15,12:30,1001000,4h 15m,0,,
FL090,LS190,LeedsAir,BJV,LBA,13:15,15:40,1001000,4h 25m,0,,
FL091,LS191,LeedsAir,LBA,JER,14:10,15:25,0010101,1h 15m,0,,
FL092,LS192,LeedsAir,JER,LBA,16:05,17:20,0010101,1h 15m,0,,
FL093,LS193,LeedsAir,LBA,AYT,08:30,16:00,0101001,4h 30m,0,,
FL094,LS194,LeedsAir,AYT,LBA,17:00,19:40,0101001,4h 40m,0,,
FL095,LS195,LeedsAir,LBA,AYT,14:45,22:15,1000110,4h 30m,0,,
FL096,LS196,LeedsAir,AYT,LBA,23:10,01:40 +1,1000110,4h 30m,0,,
FL097,LS197,LeedsAir,LBA,GCI,10:00,11:35,0001001,1h 35m,0,,
FL098,LS198,LeedsAir,GCI,LBA,12:15,13:50,0001001,1h 35m,0,,
FL099,LS199,LeedsAir,LBA,BTS,07:10,08:35,0100100,2h 25m,0,,
FL100,LS200,LeedsAir,BTS,LBA,09:00,12:20,0100100,2h 20m,0,,
FL101,LS201,LeedsAir,LBA,FCO,07:55,11:45,0100010,2h 50m,0,,
FL102,LS202,LeedsAir,FCO,LBA,12:35,14:45,0100010,3h 10m,0,,
FL103,LS203,LeedsAir,LBA,BUD,14:50,18:30,0100010,2h 40m,0,,
FL104,LS204,LeedsAir,BUD,LBA,19:15,21:05,0100010,2h 50m,0,,
FL105,LS205,LeedsAir,LBA,BGO,08:45,11:15,0100100,1h 30m,0,,
FL106,LS206,LeedsAir,BGO,LBA,12:15,12:55,0100100,1h 40m,0,,
FL107,LS207,LeedsAir,LBA,CGN,09:10,11:40,0100010,1h 30m,0,,
FL108,LS208,LeedsAir,CGN,LBA,12:25,12:55,0100010,1h 30m,0,,
FL109,LS209,LeedsAir,LBA,ZAD,17:40,19:20,1010000,2h 40m,0,,
FL110,LS210,LeedsAir,ZAD,LBA,19:45,23:20,1010000,2h 35m,0,,
FL111,LS211,LeedsAir,LBA,CPH,08:15,11:10,1000100,1h 55m,0,,
FL112,LS212,LeedsAir,CPH,LBA,12:00,13:05,1000100,2h 5m,0,,
FL113,LS213,LeedsAir,LBA,VRN,16:00,19:25,1001000,2h 25m,0,,
FL114,LS214,LeedsAir,VRN,LBA,20:15,21:40,1001000,2h 25m,0,,
FL115,LS215,LeedsAir,LBA,VIE,07:45,11:20,0101010,2h 35m,0,,
FL116,LS216,LeedsAir,VIE,LBA,12:10,13:45,0101010,2h 35m,0,,
FL117,LS217,LeedsAir,LBA,SZG,08:15,11:25,0000001,2h 10m,0,,
FL118,LS218,LeedsAir,SZG,LBA,12:15,13:35,0000001,2h 20m,0,,
FL119,LS219,LeedsAir,LBA,BER,15:20,18:25,0101010,2h 5m,0,,
FL120,LS220,LeedsAir,BER,LBA,19:15,20:20,0101010,2h 5m,0,,
FL121,LS221,LeedsAir,LBA,PSA,07:00,10:35,0000001,2h 35m,0,,
FL122,LS222,LeedsAir,PSA,LBA,11:20,12:55,0000001,2h 35m,0,,
FL123,LS223,LeedsAir,LBA,NCE,12:50,16:10,0100010,2h 20m,0,,
FL124,LS224,LeedsAir,NCE,LBA,16:55,18:20,0100010,2h 25m,0,,
FL125,LS225,LeedsAir,LBA,OPO,07:25,09:50,1001000,2h 25m,0,,
FL126,LS226,LeedsAir,OPO,LBA,10:50,13:25,1001000,2h 35m,0,,
FL127,LS227,LeedsAir,LBA,TLL,06:50,12:00,0100010,3h 10m,0,,
FL128,LS228,LeedsAir,TLL,LBA,12:50,14:00,0100010,3h 10m,0,,
FL129,LS229,LeedsAir,LBA,SSH,09:00,16:35,0000001,5h 35m,0,,
FL130,LS230,LeedsAir,SSH,LBA,17:35,21:40,0000001,6h 5m,0,,
